label,seed,cross_cutting_exposure.camp_share,cross_cutting_exposure.stance_share,cross_cutting_exposure.algorithmic_share,cross_cutting_exposure.rank_penalty,cross_cutting_exposure.delta,cross_cutting_exposure.n,epistemic_alignment.quality_attention_rho,feed_narrowing.feed_dist,feed_narrowing.world_dist,feed_narrowing.bubble,feed_narrowing.topic_narrowing,feed_narrowing.n_users,hostility_given_contact.contact_rate,hostility_given_contact.hostility,hostility_given_contact.n,selection_filtering.echo_exposed,selection_filtering.echo_attended,selection_filtering.selection_shift,selection_filtering.delta,selection_filtering.n,voice_inequality.posting_gini,voice_inequality.attention_gini,voice_inequality.top1_share,voice_inequality.minority_camp_attention_share,affective_distance,animus_asymmetry,ident_animus_coupling,stance_centroid_distance,wall_s
exp01-world_a,2,0.26860304840288457,0.470179943072881,0.4069168506254599,-0.10786292785594834,0.3361088539553821,50059,-0.0018060711421288534,0.42402964706554597,0.6321301875991083,-0.20810054053356228,-0.404537831333591,1499,0.4290947593895285,0.6676688317213603,82166,0.529820056927119,0.529820056927119,0.0,0.3361088539553821,50059,0.6889883557261677,0.5793821859573118,0.06676727600223938,0.46100576880948324,0.06531890934754739,0.06531890934754739,0.0036378763107110055,1.176513865366045,6.263889312744141
exp01-world_a,3,0.2673799851233049,0.5351052111473129,0.40789784819106173,-0.10034496618416969,0.2873385968280666,52431,0.0024590888519921686,0.4240024283726339,0.6303187374350315,-0.20631630906239778,-0.4443308274170277,1498,0.4317589002467395,0.6602987999020328,85110,0.46489478885268704,0.46489478885268704,0.0,0.2873385968280666,52431,0.684102612312338,0.581821047603863,0.0676771237222418,0.5312066737163671,0.09860129802234219,-0.09860129802234219,-0.02369667825512775,1.170196192581408,6.625208377838135
exp01-world_b,0,0.33110419906687405,0.5722579175318285,0.4920863309352518,0.00034680393230135387,0.30196803102671854,51440,-0.004177943338623199,0.4980663416162199,0.6361501029318497,-0.13808376131562974,-0.0921382403162323,1498,0.16375523804715506,0.3576383536303376,39614,0.4277420824681714,0.4683608226002377,0.04061874013206629,0.30196803102671854,51440,0.6927550400441866,0.5049236808199984,0.05283485636391175,0.4952542030595244,0.01789051228703189,0.01789051228703189,-0.011108096528028065,1.188643394824251,5.434767246246338
exp01-world_b,1,0.34009548903460984,0.5767151101220945,0.5036435561107641,0.0019446374367371178,0.30378264742411704,50477,-0.0009116351916941166,0.5016317608590174,0.6319625373821294,-0.1303307765231121,-0.09744749989289159,1500,0.15810106732763418,0.3553031514957607,39538,0.42328488987790547,0.4631799718582569,0.03989508198035141,0.30378264742411704,50477,0.6797499350480645,0.4873532873692933,0.051570640902422984,0.46153067934645153,0.0015458561064718625,0.0015458561064718625,-0.013228082570944497,1.1798472544257173,5.243963241577148
exp01-world_b,2,0.3438121688431917,0.547650304989376,0.4921552436003303,-0.005865435962259524,0.3361088539553821,50769,-0.007801902274102995,0.5011556086619184,0.635446666425122,-0.1342910577632036,-0.09531341004159177,1499,0.16955821856555178,0.35880048221820376,39137,0.452349695010624,0.48990176925865664,0.03755207424803264,0.3361088539553821,50769,0.6858501165060772,0.4971829082128614,0.05475636865370365,0.469990035005238,0.07220131559902841,0.07220131559902841,0.0038042453326150175,1.1743061816673732,5.349124908447266
exp01-world_b,3,0.3503363334912364,0.610624303385944,0.5070394606385088,-0.008847629565843229,0.2873385968280666,52775,-0.002332639425658044,0.5072630107916115,0.631040461651296,-0.12377745085968442,-0.0936126597967617,1499,0.17049570783506177,0.35841094295692666,40306,0.38937569661405597,0.42481172475284934,0.035436028138793374,0.2873385968280666,52775,0.6842012666318052,0.5006939573851428,0.05344117501116459,0.526522105889942,0.09928965741001015,-0.09928965741001015,-0.02345819689358018,1.1680754361688437,5.3918445110321045
exp01-world_a,0,0.26195192564092795,0.5044153310202715,0.38526369556889284,-0.10352787685723008,0.30196803102671854,52502,-0.00256951619904875,0.42264684460911184,0.6433088847312867,-0.22066204012217483,-0.44930133276295137,1497,0.4246395652530363,0.6653335907548887,85383,0.4955846689797285,0.4955846689797285,0.0,0.30196803102671854,52502,0.696887824856205,0.576671385786338,0.0634435426255812,0.49764004544230117,0.016659742656895966,0.016659742656895966,-0.010456608726841692,1.190920259653264,7.017575263977051
exp01-world_a,1,0.2721562469329669,0.5108521977339882,0.3948446794448116,-0.1191514550826775,0.30378264742411704,50945,0.022490289970514346,0.4291330674256486,0.6273785371434671,-0.19824546971781865,-0.4243226504956532,1499,0.4347650544465687,0.6657926362941112,84211,0.4891478022660119,0.4891478022660119,0.0,0.30378264742411704,50945,0.6833848776968982,0.5579215784702778,0.061452779328116276,0.47291921482941657,0.00011754125256250562,0.00011754125256250562,-0.013547933806621398,1.181824742160689,6.811424970626831
exp01-world_a,2,0.27391560353287536,0.4749122910153504,0.40204716247732575,-0.11103205472852454,0.3361088539553821,50950,0.003915229418799993,0.4290776654206324,0.635265032398896,-0.2061873669782635,-0.4207435217904003,1498,0.43406091791849943,0.6655285441136302,84343,0.5250877089846496,0.5250877089846496,0.0,0.3361088539553821,50950,0.6940626115786789,0.5773626504353218,0.06742705381596575,0.4637136454714677,0.0657795110795073,0.0657795110795073,0.003410827475210561,1.176664482655486,6.984727144241333
exp01-world_a,3,0.27822748420773913,0.5372719080572113,0.3895239291546288,-0.10646702701902125,0.2873385968280666,52874,0.013781513869006098,0.4291249844261522,0.6337798656560246,-0.20465488122987238,-0.4445270156579222,1500,0.43660762334405806,0.6616490087065982,87337,0.4627280919427887,0.4627280919427887,0.0,0.2873385968280666,52874,0.6824877512653652,0.5810370020846413,0.0665468243699692,0.5258596013144486,0.09716711922852177,-0.09716711922852177,-0.02386020274001802,1.1702220188968604,7.490446329116821
