arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,swept_dial,level,affective,ideological,structural
engagement,4,camp_pair,0.0,0.0,NaN,0.003295477063011143,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9972918611256686,0.9972918611256686,NaN,ideological,0.1,0.5,0.1,0.5
composition,4,camp_pair,-0.005344511444764111,-1.6732972588491267e-7,NaN,0.003295477063011143,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.9972918611256686,0.9972918611256686,0.9972918611256686,ideological,0.1,0.5,0.1,0.5
exposure,0,camp_pair,0.00042983205579272266,9.371270320551216e-9,2.1703209078148077e-8,0.003953468065636567,-0.0013942775917088275,-0.0013807892152473582,0.0012283812825437373,0.0,-0.00006167303064177204,-0.002122069306144559,-0.0016140319186071681,0.0023509119897164297,1.002860668536658,1.001742876518285,NaN,ideological,0.5,0.5,0.5,0.5
engagement,0,camp_pair,0.0010500773103659933,2.123513266665305e-8,4.8453179695736125e-8,0.003953468065636567,-0.0011438954931454553,-0.001084261828534136,0.0010550705974966654,0.0,0.00013839090184471908,-0.002122069306144559,-0.0016140319186071681,0.0023509119897164297,1.0026372517443511,1.001742876518285,NaN,ideological,0.5,0.5,0.5,0.5
composition,0,camp_pair,-0.008960544097077472,-1.8076911168426784e-7,-4.120548191427146e-7,0.003953468065636567,-0.0011077372006702995,-0.0010452881207170808,0.0010198384065499308,0.0,0.00008439489591066662,-0.002122069306144559,-0.0016140319186071681,0.0023509119897164297,1.002563836319438,1.001742876518285,1.002563836319438,ideological,0.5,0.5,0.5,0.5
exposure,1,camp_pair,-0.00001852975934901746,-4.0682721911470483e-10,-9.166341503347742e-10,0.003635011944805977,-0.00023737734171085535,-0.0002949876335269111,0.0001780496633668198,0.0,-0.001134418943119067,-0.0033626682694012358,-0.002684499484432006,0.003546323419282319,1.002911502221124,1.0027058627174807,1.002911502221124,ideological,0.5,0.5,0.5,0.5
engagement,1,camp_pair,0.0010257413354685108,2.0539474078264132e-8,4.464014864080907e-8,0.003635011944805977,-0.00045928798954621717,-0.0004480396728448392,0.00047319655995580736,0.0,-0.00003380852245310484,-0.0033626682694012358,-0.002684499484432006,0.003546323419282319,1.0029600110734853,1.0027058627174807,NaN,ideological,0.5,0.5,0.5,0.5
composition,1,camp_pair,-0.00903339900937461,-1.8213966871067444e-7,-3.9981406609607017e-7,0.003635011944805977,-0.00033970053059818785,-0.0003361233758979337,0.00034047526078541434,0.0,-0.0013267084652962488,-0.0033626682694012358,-0.002684499484432006,0.003546323419282319,1.0029567120040013,1.0027058627174807,1.0029567120040013,ideological,0.5,0.5,0.5,0.5
exposure,2,camp_pair,0.00018690863906489774,4.092411960608201e-9,9.093098470683423e-9,0.005064493296067507,-0.0006363564112719816,-0.0006183886596759611,0.0006697542661493819,0.0,-0.00016348854844008137,-0.0035865492341938363,-0.0032177633697847716,0.003560416604991295,1.0032361582505338,1.0026785312850692,NaN,ideological,0.5,0.5,0.5,0.5
engagement,2,camp_pair,0.0012995339961320296,2.6522725802233395e-8,5.7621336236067465e-8,0.005064493296067507,-0.0012294903041793512,-0.0011595458700340905,0.0011803941149041604,0.0,-0.0000636048199032721,-0.0035865492341938363,-0.0032177633697847716,0.003560416604991295,1.0037549287088543,1.0026785312850692,NaN,ideological,0.5,0.5,0.5,0.5
composition,2,camp_pair,-0.009107220293777862,-1.843790803291465e-7,-3.9710562020484267e-7,0.005064493296067507,-0.0005833257626176058,-0.0005268386730597182,0.0005996638992123316,0.0,0.00007898656280321686,-0.0035865492341938363,-0.0032177633697847716,0.003560416604991295,1.0031413337921014,1.0026785312850692,1.0031413337921014,ideological,0.5,0.5,0.5,0.5
exposure,3,camp_pair,0.00036059780623753923,8.070134195052688e-9,1.91410269248654e-8,0.004424966992757073,0.0003819605968027307,0.00038221210027884886,-0.0002808400308437608,0.0,-6.842767132135552e-6,-0.0028037587354278175,-0.002554972656426081,0.002866192026303722,1.0024234786271877,1.0027178929552727,NaN,ideological,0.5,0.5,0.5,0.5
engagement,3,camp_pair,0.0013961504165570515,2.8752814559323096e-8,6.711616270344445e-8,0.004424966992757073,-0.00014587747854911525,-0.00009338880937161597,0.00020313710897377308,0.0,-0.000029867066619310156,-0.0028037587354278175,-0.002554972656426081,0.002866192026303722,1.0028028657288257,1.0027178929552727,NaN,ideological,0.5,0.5,0.5,0.5
