arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,scenario,lhs_index,affective,ideological,structural
exposure,1,distance,0.0008283007906857431,1.8753838628064917e-8,4.3693664118043107e-8,0.004034364875439955,-0.0012749684243887711,-0.001192656738380496,0.0010961362733147581,0.0,-5.3103500430168316e-6,-0.0047553974002266216,-0.0041108088310673856,0.004987850453287184,1.0034099827582348,1.0027283507428897,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
engagement,1,distance,0.006243370868024067,9.153294826231242e-8,2.3669753451962191e-7,0.004034364875439955,-0.00837286191925379,-0.00850351744754684,0.007784831451881061,0.0,-4.487003319987581e-6,-0.0047553974002266216,-0.0041108088310673856,0.004987850453287184,1.0079703610095594,1.0027283507428897,NaN,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
composition,1,distance,-0.00909440201876266,-1.3329623197213214e-7,-3.422937264768211e-7,0.004034364875439955,-0.009044524615273695,-0.009141235041298301,0.008458535288730907,0.0,0.00003360325270440612,-0.0047553974002266216,-0.0041108088310673856,0.004987850453287184,1.0082856231715345,1.0027283507428897,1.0082856231715345,consolidated_two_camp,2,0.5508114029651066,0.7718968694244319,0.7848576572238148
exposure,0,camp_pair,0.0009691603485291189,2.1049941324669728e-8,4.7826704921492246e-8,0.008137127667712907,-0.0017275894978342875,-0.0016720393844623163,0.00163645490571986,0.0,-0.000012055560408091859,-0.007788523792359853,-0.007252561367854031,0.007769973633311471,1.0061873447008765,1.00513838881353,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
engagement,0,camp_pair,0.002035787658226429,4.282983375886622e-8,9.9539783797498e-8,0.008137127667712907,-0.0010361888311466848,-0.00105769809629766,0.000979550882491337,0.0,-0.000050517712258793535,-0.007788523792359853,-0.007252561367854031,0.007769973633311471,1.0059188098214038,1.00513838881353,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
composition,0,camp_pair,-0.011250140077256221,-2.3810828135066501e-7,-5.534035160242128e-7,0.008137127667712907,-0.0012105789363922072,-0.0011968023676336998,0.0011753301864463996,0.0,-0.00009850094730465275,-0.007788523792359853,-0.007252561367854031,0.007769973633311471,1.0060948275379598,1.00513838881353,1.0060948275379598,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
exposure,1,camp_pair,0.0009921970970678817,2.165801748598362e-8,4.781672756953647e-8,0.007522450421560967,-0.0019217636714520502,-0.0017854105843020133,0.0017325310840737773,0.0,-1.2321960864355996e-6,-0.006859116785663984,-0.006197173777256916,0.006893265536793422,1.0054632493502147,1.0041800662258027,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
engagement,1,camp_pair,0.002332900557842299,4.916130479711508e-8,1.104540768828322e-7,0.007522450421560967,-0.0006657849358378118,-0.0006115568042563291,0.000582860776944547,0.0,-0.00002086780941108063,-0.006859116785663984,-0.006197173777256916,0.006893265536793422,1.0044921486257243,1.0041800662258027,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
composition,1,camp_pair,-0.010782292692673945,-2.2556153911288116e-7,-5.068057669881995e-7,0.007522450421560967,-0.0010539454086319344,-0.0009395893295324918,0.0009585684401570678,0.0,0.000016290995716553014,-0.006859116785663984,-0.006197173777256916,0.006893265536793422,1.0048570870133269,1.0041800662258027,1.0048570870133269,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
exposure,0,distance,0.0009691603485291189,2.1049941324669728e-8,4.7826704921492246e-8,0.008137127667712907,-0.0017275894978342875,-0.0016720393844623163,0.00163645490571986,0.0,-0.000012055560408091859,-0.007788523792359853,-0.007252561367854031,0.007769973633311471,1.0061873447008765,1.00513838881353,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
engagement,0,distance,0.012146130350152218,1.7247391264433803e-7,4.194685160295696e-7,0.008137127667712907,-0.008301859290932724,-0.008321300493594478,0.007841087202421777,0.0,-0.00014793432402387952,-0.007788523792359853,-0.007252561367854031,0.007769973633311471,1.0103582799826567,1.00513838881353,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
composition,0,distance,-0.007773446245622262,-1.0998084671225612e-7,-2.6956501181198675e-7,0.008137127667712907,-0.00796849982042969,-0.007995630932768408,0.007496918316136335,0.0,-0.00016988431111973623,-0.007788523792359853,-0.007252561367854031,0.007769973633311471,1.0099867295859026,1.00513838881353,1.0099867295859026,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
exposure,1,distance,0.0009921970970678817,2.165801748598362e-8,4.781672756953647e-8,0.007522450421560967,-0.0019217636714520502,-0.0017854105843020133,0.0017325310840737773,0.0,-1.2321960864355996e-6,-0.006859116785663984,-0.006197173777256916,0.006893265536793422,1.0054632493502147,1.0041800662258027,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
engagement,1,distance,0.012613242969248262,1.7648551077037962e-7,4.1230527488389976e-7,0.007522450421560967,-0.008948127983695802,-0.009017750802248793,0.008240913798600136,0.0,-0.000051939284918096906,-0.006859116785663984,-0.006197173777256916,0.006893265536793422,1.0098162902610825,1.0041800662258027,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
composition,1,distance,-0.008052837900560439,-1.1250594325775653e-7,-2.629498089978919e-7,0.007522450421560967,-0.00882896425087825,-0.00883502704701642,0.008213187885404559,0.0,-0.000014902062447495756,-0.006859116785663984,-0.006197173777256916,0.006893265536793422,1.0099085437742525,1.0041800662258027,1.0099085437742525,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
exposure,0,camp_pair,0.0012849533283073589,3.038576731714337e-8,8.124388772808288e-8,0.00249632356377516,-0.0026528392615146933,-0.0026374063249063476,0.0025194754001051866,0.0,-0.00471765574243347,-0.0036103738068938435,-0.003282916280190555,0.0037992128140459974,1.0030401748276232,1.001686193105469,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
engagement,0,camp_pair,0.00047808333267629344,1.1952382126460498e-8,4.107598012512187e-8,0.00249632356377516,-0.00022831946667709827,-0.0002333588658966568,0.00016965517043329064,0.0,0.00006333962157337863,-0.0036103738068938435,-0.003282916280190555,0.0037992128140459974,1.001749566128611,1.001686193105469,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
composition,0,camp_pair,-0.00610132469091873,-1.5412055903098743e-7,-5.381305954241251e-7,0.00249632356377516,0.00003541163268887086,0.00006874768475318739,-0.000033644715834678634,0.0,-5.64811358150924e-6,-0.0036103738068938435,-0.003282916280190555,0.0037992128140459974,1.0016693010138866,1.001686193105469,1.0016693010138866,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
exposure,1,camp_pair,0.000582767772074777,1.3444867275920569e-8,3.3314341283643576e-8,0.002312787813621986,-0.0031725138722814997,-0.0028637289247577086,0.003196600016389375,0.0,0.005799967037470752,-0.003865665107261722,-0.0035935036822116293,0.004025753767920733,1.0034455703565763,1.0018827536681605,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
engagement,1,camp_pair,0.0002508680468512603,6.090212828977964e-9,1.8211836432033415e-8,0.002312787813621986,-0.0008775892696053248,-0.0006626755833931239,0.0009246892685908252,0.0,0.005963294848412744,-0.003865665107261722,-0.0035935036822116293,0.004025753767920733,1.0022497026354766,1.0018827536681605,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
composition,1,camp_pair,-0.006485253970821225,-1.5757353477710292e-7,-4.742416066414059e-7,0.002312787813621986,-0.000989221807086751,-0.0006907535751995634,0.00104808904422307,0.0,0.005769465234381058,-0.003865665107261722,-0.0035935036822116293,0.004025753767920733,1.0022545988314076,1.0018827536681605,1.0022545988314076,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
