arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,point,window,affective,ideological,structural
engagement,2,distance,60,120,180,0.008299978509794581,0.0029317915428606067,0.6467711886963468,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,3,distance,60,120,180,0.007635518693307031,0.002974258256403184,0.6104706993893825,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,4,distance,60,120,180,0.008159113412484986,0.0031173439807119507,0.6179310394261924,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,0,distance,60,120,180,-0.01093017765733495,-0.004151340138838444,0.620194632787822,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,1,distance,60,120,180,-0.010361635510860667,-0.003827546475097865,0.630604022783278,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,2,distance,60,120,180,-0.011005227753801972,-0.0038256942595049637,0.6523748217583863,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,3,distance,60,120,180,-0.009833861977427194,-0.003571473892314714,0.6368187899613873,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,4,distance,60,120,180,-0.010070061168583111,-0.003988164574653341,0.6039582572650362,cross_cut_LHS4,60,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,0,distance,60,360,420,0.049916478005966436,0.02741505678102696,0.45078142777320784,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,1,distance,60,360,420,0.05009917102699779,0.026434432166003052,0.47235789287296026,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,2,distance,60,360,420,0.051087554376523236,0.027403704308782473,0.46359334199455116,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,3,distance,60,360,420,0.048971088583746436,0.028011777822666506,0.4279935645138252,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,4,distance,60,360,420,0.04711463621121226,0.02655638388327075,0.4363453478825565,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,0,distance,60,360,420,0.011509556176149793,0.005819821027771344,0.4943487881981732,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,1,distance,60,360,420,0.015418419194305866,0.0067706815003441,0.5608705785581078,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,2,distance,60,360,420,0.012066310116091827,0.005213309060240867,0.5679450461588657,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,3,distance,60,360,420,0.01441641353310219,0.008465917796384392,0.41275839674372483,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,4,distance,60,360,420,0.010502295665595796,0.005754824445856066,0.45204128420149614,consolidated_two_camp_LHS1,300,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,0,distance,60,360,420,0.025436840942631767,0.014048324733893391,0.4477173967641317,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,1,distance,60,360,420,0.024521957358425217,0.012829075043862881,0.47683315583879826,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,2,distance,60,360,420,0.024948876392108854,0.014568281477447043,0.41607464606883526,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,3,distance,60,360,420,0.025340885426275328,0.014012830787709873,0.44702678884375835,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,4,distance,60,360,420,0.025511673287572423,0.013649970446724113,0.46495197344137107,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,0,distance,60,360,420,-0.016206114072181643,-0.008913708511485652,0.4499786641150243,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
