arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,swept_dial,level,affective,ideological,structural
composition,1,camp_pair,-0.008832114989007156,-1.893759378405411e-7,-2.2517119592614613e-7,0.003079346069486122,-0.0018225267666555933,-0.0018343841426789699,0.0017039230307161063,0.0,9.999384088611729e-6,-0.00370213071698175,-0.003003897363811915,0.0039111126810571105,1.0033428681797152,1.002121597304174,1.0033428681797152,affective,0.5,0.5,0.7,0.7
exposure,2,camp_pair,0.0010183623305149991,2.2897410466891494e-8,2.7207115429201154e-8,0.004626926454018965,-0.001751933685892661,-0.0017288155738308811,0.0017211706727370633,0.0,-0.00020504618482414944,-0.004821097822684255,-0.004526559636987754,0.004776217369901793,1.0041358811278334,1.0029814959846752,NaN,affective,0.5,0.5,0.7,0.7
engagement,2,camp_pair,0.0014963404023806692,3.300556737208111e-8,3.925548041294583e-8,0.004626926454018965,-0.000802057986412451,-0.0007930549141448575,0.0008227393396268287,0.0,0.00010337613904116971,-0.004821097822684255,-0.004526559636987754,0.004776217369901793,1.0034838369677317,1.0029814959846752,NaN,affective,0.5,0.5,0.7,0.7
composition,2,camp_pair,-0.008983983998612333,-1.9722912776036383e-7,-2.3478946264406054e-7,0.004626926454018965,-0.0014742045134675304,-0.0014312712254632319,0.0014735148935274243,0.0,-0.0003860490499193944,-0.004821097822684255,-0.004526559636987754,0.004776217369901793,1.0039574212732352,1.0029814959846752,1.0039574212732352,affective,0.5,0.5,0.7,0.7
exposure,3,camp_pair,0.0015618099354230974,3.5600053233869696e-8,4.216094199932776e-8,0.004032840438841667,-0.0011732112330120142,-0.0011807931846823942,0.0010642605937814919,0.0,-0.000034693177665176544,-0.0031381263737339997,-0.002778495886894661,0.0032884832560822934,1.0029370046696486,1.0021950316457608,NaN,affective,0.5,0.5,0.7,0.7
engagement,3,camp_pair,0.0022757692000463514,5.048066190600132e-8,6.010377139357573e-8,0.004032840438841667,-0.001291411901417247,-0.0013088655520795355,0.0012217129381437396,0.0,-0.0000640254809357102,-0.0031381263737339997,-0.002778495886894661,0.0032884832560822934,1.0030069692122123,1.0021950316457608,NaN,affective,0.5,0.5,0.7,0.7
composition,3,camp_pair,-0.008528047588453713,-1.8910035009210416e-7,-2.241274004849859e-7,0.004032840438841667,-0.0012759243244462354,-0.0013279273504464436,0.0011192493765646242,0.0,-0.000051687013867200704,-0.0031381263737339997,-0.002778495886894661,0.0032884832560822934,1.0030095527600564,1.0021950316457608,1.0030095527600564,affective,0.5,0.5,0.7,0.7
exposure,4,camp_pair,0.001075876289854838,2.350820018911065e-8,2.7706633613732274e-8,0.00428342421321537,-0.0005450508442034771,-0.0005488148521722558,0.000507374998734073,0.0,0.00020068924089806928,-0.002984261807255516,-0.0027646199407660656,0.0029963761057037477,1.0020757518408399,1.001709612585596,NaN,affective,0.5,0.5,0.7,0.7
engagement,4,camp_pair,0.0014808256481306792,3.131371639100611e-8,3.707718390872779e-8,0.00428342421321537,-0.0007367722698657228,-0.0007158660588053528,0.0007103091941493903,0.0,0.00017397643631530263,-0.002984261807255516,-0.0027646199407660656,0.0029963761057037477,1.0023098786587472,1.001709612585596,NaN,affective,0.5,0.5,0.7,0.7
composition,4,camp_pair,-0.008885917366683649,-1.8655743878322203e-7,-2.2076264854745595e-7,0.00428342421321537,-0.0013550326147184722,-0.0013705640878600351,0.0012363386618721877,0.0,0.00015437946186225293,-0.002984261807255516,-0.0027646199407660656,0.0029963761057037477,1.002671241965114,1.001709612585596,1.002671241965114,affective,0.5,0.5,0.7,0.7
