arm,seed,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,swept_dial,level,affective,ideological,structural
engagement,1,0.00623807332043258,1.0935930227608744e-7,1.2755752740946712e-7,0.0006444062462440947,0.0006560781560546111,-0.0005154704597432683,0.0,-0.000020209386494829396,-0.02537144880458801,-0.023912683248426565,0.023461571620858237,affective,0.9,0.9,0.5,0.5
composition,1,-0.013752088921151984,-2.4141295393929575e-7,-2.8021453880946237e-7,0.00008111873300018987,-0.00005761558504173425,-0.00007632187036990881,0.0,2.7365580397356593e-6,-0.02537144880458801,-0.023912683248426565,0.023461571620858237,affective,0.9,0.9,0.5,0.5
exposure,2,0.0012876823664571546,2.5726377369131813e-8,3.0260671784766165e-8,-0.001513850496388646,-0.0013939411643568017,0.0014266130420416828,0.0,0.0014659863721090682,-0.020303093344963257,-0.01977239471838783,0.019239985615226277,affective,0.9,0.9,0.5,0.5
engagement,2,0.00726718138176663,1.3330364263274323e-7,1.5526838265461562e-7,-0.003893920914827563,-0.0037855388820359805,0.0036649658583370014,0.0,-0.00015326634461446803,-0.020303093344963257,-0.01977239471838783,0.019239985615226277,affective,0.9,0.9,0.5,0.5
composition,2,-0.013069125250907199,-2.3941388676828605e-7,-2.7864750439015817e-7,-0.0026586752495654717,-0.0025375622228692753,0.002569607587469075,0.0,7.811681693788153e-6,-0.020303093344963257,-0.01977239471838783,0.019239985615226277,affective,0.9,0.9,0.5,0.5
exposure,3,0.0010967533766699233,2.176832218545786e-8,2.5654449642579668e-8,0.00042645264790048404,0.00033956110798705197,-0.00034012009558679127,0.0,-0.0000741092129544485,-0.028226100164685748,-0.02748589274595117,0.026195896547903032,affective,0.9,0.9,0.5,0.5
engagement,3,0.0052632335542845965,9.683606038939868e-8,1.128480607693953e-7,0.00020484494161421285,0.00004932776515579815,-0.00023642726698755792,0.0,-0.00013183783965832474,-0.028226100164685748,-0.02748589274595117,0.026195896547903032,affective,0.9,0.9,0.5,0.5
composition,3,-0.013581921375814154,-2.5258352629275744e-7,-2.944781530682571e-7,0.000344694374102443,0.0002189105088703583,-0.0005249482607225589,0.0,-0.00022658606094713013,-0.028226100164685748,-0.02748589274595117,0.026195896547903032,affective,0.9,0.9,0.5,0.5
exposure,4,0.00041263437476501963,7.321404804205458e-9,8.438158212818135e-9,-0.003229354680089124,-0.0032374588896095756,0.003021034429649478,0.0,-0.00016012091947884347,-0.02808090029392794,-0.02731821154583466,0.0255220930355281,affective,0.9,0.9,0.5,0.5
engagement,4,0.005550372585708896,9.39117557055412e-8,1.0862848783068589e-7,0.0005094715937312595,0.0004370225935448682,-0.0005585073103458009,0.0,-0.00007975841053841151,-0.02808090029392794,-0.02731821154583466,0.0255220930355281,affective,0.9,0.9,0.5,0.5
composition,4,-0.015474675134222515,-2.6406844822140434e-7,-3.053408668946826e-7,-0.0008351641696560975,-0.0008142128014723173,0.0008640292408900047,0.0,-0.00003858355243130038,-0.02808090029392794,-0.02731821154583466,0.0255220930355281,affective,0.9,0.9,0.5,0.5
