arm,seed,delta_aff_plateau,delta_aff_per_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,swept_dial,level,affective,ideological,structural
engagement,3,0.004360632423817679,9.142745411086442e-8,-0.0016282532574868995,-0.0016148451217593979,0.0015043321744703138,0.0,ideological,0.9,0.7,0.9,0.7
composition,3,-0.01085310209306134,-2.2867893158578466e-7,-0.0014336430795171135,-0.0014656286184496561,0.001317742051656412,0.0,ideological,0.9,0.7,0.9,0.7
exposure,4,0.003340066923501972,6.820499731477756e-8,-0.002830352868820189,-0.0028110835576632687,0.002740093037617632,0.0,ideological,0.9,0.7,0.9,0.7
engagement,4,0.004610778405043092,9.240592430493e-8,-0.0004967949152692736,-0.00047513115535888564,0.0004524327028328501,0.0,ideological,0.9,0.7,0.9,0.7
composition,4,-0.011936642141291642,-2.431038500497269e-7,-0.001394083392248618,-0.0013299996536445258,0.0013554370608846074,0.0,ideological,0.9,0.7,0.9,0.7
exposure,0,0.0006932815807867421,1.3137050779503573e-8,-0.00036864074020692,-0.000475930868049642,0.00037562640296236183,0.0,structural,0.1,0.7,0.7,0.1
engagement,0,0.007103775516622557,1.2046014238320826e-7,-0.0011234063684773636,-0.0011210279823030238,0.001153273681982512,0.0,structural,0.1,0.7,0.7,0.1
composition,0,-0.020152257713505817,-3.375870292906578e-7,-0.0015331783830372127,-0.0015717044752913724,0.0014866542705272226,0.0,structural,0.1,0.7,0.7,0.1
exposure,1,-0.00007297766461578092,-1.3761062116416677e-9,0.0006163033403744442,0.0004737655606707764,-0.0005877933709435047,0.0,structural,0.1,0.7,0.7,0.1
engagement,1,0.007290275151291548,1.2071390974602267e-7,-0.0014507509941848358,-0.001439508742928284,0.0014038338360547135,0.0,structural,0.1,0.7,0.7,0.1
composition,1,-0.020620402498732426,-3.463401944763416e-7,-0.0014399830132490847,-0.0014392706487343712,0.0013141084430002125,0.0,structural,0.1,0.7,0.7,0.1
exposure,2,0.0011870043736248448,2.2260227545286266e-8,-0.0012946098344922205,-0.0012048397087862373,0.0013032856320383916,0.0,structural,0.1,0.7,0.7,0.1
engagement,2,0.007700024606116074,1.2994725518717532e-7,-0.0016611790853557212,-0.0016206502983174935,0.0015963069268536169,0.0,structural,0.1,0.7,0.7,0.1
composition,2,-0.020075991355898548,-3.380479449703399e-7,-0.0021952515457555055,-0.002101699382920926,0.0021345785990511817,0.0,structural,0.1,0.7,0.7,0.1
exposure,3,-0.00047279140346079274,-8.908658277793762e-9,0.0011667688639043113,0.0011495295483187895,-0.0010364399086058539,0.0,structural,0.1,0.7,0.7,0.1
engagement,3,0.006453508503075023,1.083839998501087e-7,-0.0009527267125673707,-0.000868806528152178,0.0009117267512236439,0.0,structural,0.1,0.7,0.7,0.1
composition,3,-0.020257976327156424,-3.394091801621222e-7,-0.0008743803029371486,-0.0008141213096014184,0.0008710665256623472,0.0,structural,0.1,0.7,0.7,0.1
exposure,4,-0.0008013736691747653,-1.4669113475650106e-8,0.000853292719269122,0.0008127304840744518,-0.0007801257837051004,0.0,structural,0.1,0.7,0.7,0.1
engagement,4,0.007328921164754032,1.1791551894896598e-7,-0.00003891528618079482,-1.2976497377539808e-6,0.00016302405734705191,0.0,structural,0.1,0.7,0.7,0.1
composition,4,-0.020314862227505337,-3.2775951061624266e-7,-0.0014938881877599244,-0.001447997634046145,0.0014764655532934698,0.0,structural,0.1,0.7,0.7,0.1
exposure,0,0.0018561758077311197,3.789815443119604e-8,-0.002273994494211713,-0.0021467728236564797,0.002211478144702208,0.0,structural,0.5,0.7,0.7,0.5
engagement,0,0.0050814626683097774,9.816975132934927e-8,-0.001743968615688346,-0.0016955879601747471,0.0017200946809524734,0.0,structural,0.5,0.7,0.7,0.5
composition,0,-0.01502806954710989,-2.903750347240772e-7,-0.0018881791243106419,-0.0017887513995363275,0.0018728750614020653,0.0,structural,0.5,0.7,0.7,0.5
exposure,1,0.0008168265385970486,1.6720431888091554e-8,-0.002030294336284844,-0.00202153967190127,0.0019296220521978283,0.0,structural,0.5,0.7,0.7,0.5
engagement,1,0.004644155086650503,8.953623718696144e-8,-0.001338634420192471,-0.00138580785493732,0.001220107473272624,0.0,structural,0.5,0.7,0.7,0.5
composition,1,-0.015088459588082248,-2.8829431545717654e-7,-0.0016618826166123202,-0.001650214796347988,0.0015559769804512763,0.0,structural,0.5,0.7,0.7,0.5
exposure,2,0.0020546173264468504,4.200382963195033e-8,-0.0019893478946828753,-0.0019427897901220046,0.0019972876405005436,0.0,structural,0.5,0.7,0.7,0.5
engagement,2,0.005542622231056393,1.0811497349230276e-7,-0.0008438399811019175,-0.0008867456123088716,0.0007839709252716581,0.0,structural,0.5,0.7,0.7,0.5
composition,2,-0.014907525679043188,-2.9071404822721167e-7,-0.0011909437184384024,-0.0011802096548881227,0.0012021086994499965,0.0,structural,0.5,0.7,0.7,0.5
exposure,3,0.0024335809225730642,4.9861309291148075e-8,4.844345146175905e-6,0.000016658959884466307,0.000016305657799286707,0.0,structural,0.5,0.7,0.7,0.5
engagement,3,0.005517032514065212,1.0630530105332021e-7,0.00010080603094083165,0.00017561405122591342,-0.00008305060026717916,0.0,structural,0.5,0.7,0.7,0.5
composition,3,-0.01440664717860396,-2.789985316459895e-7,-0.00047858313303264163,-0.0004332039516526977,0.00046651671273340196,0.0,structural,0.5,0.7,0.7,0.5
exposure,4,0.00309037858210659,6.100715773267905e-8,-0.0016494421594670655,-0.0015721887267838072,0.0015933479860019677,0.0,structural,0.5,0.7,0.7,0.5
engagement,4,0.006216090207316949,1.1531351254622767e-7,-0.002261347844279194,-0.0022263020957620193,0.002172038841892418,0.0,structural,0.5,0.7,0.7,0.5
composition,4,-0.014342207695949183,-2.648851730713673e-7,-0.001416772684410329,-0.001385796094336339,0.0013469112194679396,0.0,structural,0.5,0.7,0.7,0.5
exposure,0,0.005123138196504229,1.219591543434244e-7,-0.003926097641770871,-0.003908729683261471,0.0036473536748958396,0.0,structural,0.9,0.7,0.7,0.9
engagement,0,0.0017190758870355705,4.440450191237202e-8,-0.0007362449162635607,-0.0007482371406599434,0.0006737411986322598,0.0,structural,0.9,0.7,0.7,0.9
composition,0,-0.005351487084800155,-1.379675952562688e-7,-0.0008182981748938918,-0.0008225280725178605,0.0007538734468657687,0.0,structural,0.9,0.7,0.7,0.9
exposure,1,0.005110980377709851,1.2062449264142575e-7,-0.0029819958978225453,-0.003023953717112672,0.0028319516748059174,0.0,structural,0.9,0.7,0.7,0.9
engagement,1,0.0016864814424912833,4.3518732549513155e-8,-0.0007372382670409383,-0.0008078139533010346,0.0006337203565337153,0.0,structural,0.9,0.7,0.7,0.9
composition,1,-0.006246988092085903,-1.6120011591582339e-7,-0.0007374002170578973,-0.0008079778848720199,0.0006340779608245586,0.0,structural,0.9,0.7,0.7,0.9
exposure,2,0.005268816334212056,1.2589463415956743e-7,-0.004445616088325851,-0.0044463837038420705,0.004255888645785634,0.0,structural,0.9,0.7,0.7,0.9
engagement,2,0.0017424564755395,4.497242161671184e-8,-0.00011706216941660946,-0.00013691081161576642,0.0001269819749352575,0.0,structural,0.9,0.7,0.7,0.9
composition,2,-0.005866364722963535,-1.527420710538062e-7,-0.00018800547680656796,-0.0002168226964000923,0.00015104153207200037,0.0,structural,0.9,0.7,0.7,0.9
exposure,3,0.005328495913683229,1.2840677431340165e-7,-0.00511268712714566,-0.005185888099368822,0.004846489919916454,0.0,structural,0.9,0.7,0.7,0.9
engagement,3,0.0023677892654812016,6.223654265951377e-8,-0.0009335759005985739,-0.0010026213084991364,0.0008240105767665078,0.0,structural,0.9,0.7,0.7,0.9
composition,3,-0.005387448870490141,-1.4172648489964332e-7,-0.0009752308380206742,-0.0010294149690219618,0.0008446275625931324,0.0,structural,0.9,0.7,0.7,0.9
exposure,4,0.005040046531974429,1.1768935276064049e-7,-0.0038364725343964083,-0.0038092024149471862,0.003600234005644659,0.0,structural,0.9,0.7,0.7,0.9
engagement,4,0.0019690690468634475,4.915545076797263e-8,-0.0008072272226133615,-0.0007753238468911055,0.0007480935272333304,0.0,structural,0.9,0.7,0.7,0.9
composition,4,-0.005120492360053186,-1.2771855632178952e-7,-0.0009928123291364343,-0.0009573348783047651,0.0009704664501943867,0.0,structural,0.9,0.7,0.7,0.9
