swept_dial,level,seed,arm,d_cross,bimodality0,total_contact,cross_contact,frac
ideological,0.5,3,engagement,1.9523315406225974,0.5690505034407314,48557.0,20802.0,0.42840373169676876
ideological,0.5,3,composition,1.9523315406225974,0.5690505034407314,48966.0,20898.0,0.42678593309643426
ideological,0.5,3,exposure,1.9523315406225974,0.5690505034407314,44683.0,18839.0,0.4216144842557572
ideological,0.5,4,none,1.9790143967205998,0.5816836697924834,44941.0,18531.0,0.41234062437417945
ideological,0.5,4,engagement,1.9790143967205998,0.5816836697924834,50339.0,21950.0,0.43604362422773596
ideological,0.5,4,composition,1.9790143967205998,0.5816836697924834,50513.0,22062.0,0.4367588541563558
ideological,0.5,4,exposure,1.9790143967205998,0.5816836697924834,46271.0,19741.0,0.4266387153940913
ideological,0.9,0,none,2.8352355473667545,0.7789568722318553,47847.0,24679.0,0.5157899136831985
ideological,0.9,0,engagement,2.8352355473667545,0.7789568722318553,53940.0,30124.0,0.5584723767148684
ideological,0.9,0,composition,2.8352355473667545,0.7789568722318553,54045.0,30391.0,0.5623276898880563
ideological,0.9,0,exposure,2.8352355473667545,0.7789568722318553,49249.0,26892.0,0.5460415439907409
ideological,0.9,1,none,2.808364672659789,0.7940909812507994,48012.0,25512.0,0.5313671582104474
ideological,0.9,1,engagement,2.808364672659789,0.7940909812507994,55217.0,31613.0,0.5725229548870818
ideological,0.9,1,composition,2.808364672659789,0.7940909812507994,54898.0,31336.0,0.5708040365769245
ideological,0.9,1,exposure,2.808364672659789,0.7940909812507994,50233.0,28047.0,0.5583381442478053
ideological,0.9,2,none,2.779121804537493,0.7904182267622194,47014.0,25034.0,0.5324796869017739
ideological,0.9,2,engagement,2.779121804537493,0.7904182267622194,54549.0,31873.0,0.5843003538103356
ideological,0.9,2,composition,2.779121804537493,0.7904182267622194,54196.0,31652.0,0.584028341575024
ideological,0.9,2,exposure,2.779121804537493,0.7904182267622194,49558.0,27879.0,0.5625529682392348
ideological,0.9,3,none,2.8165266536986246,0.7742849231244326,46445.0,23820.0,0.5128646786521692
ideological,0.9,3,engagement,2.8165266536986246,0.7742849231244326,53007.0,29964.0,0.5652838304374894
ideological,0.9,3,composition,2.8165266536986246,0.7742849231244326,52739.0,29528.0,0.5598892660080775
ideological,0.9,3,exposure,2.8165266536986246,0.7742849231244326,49058.0,26826.0,0.5468221289086388
ideological,0.9,4,none,2.842512089034198,0.7758689756805116,48766.0,24878.0,0.5101505147028668
ideological,0.9,4,engagement,2.842512089034198,0.7758689756805116,55833.0,31276.0,0.5601705084806476
ideological,0.9,4,composition,2.842512089034198,0.7758689756805116,55511.0,31004.0,0.558519932986255
ideological,0.9,4,exposure,2.842512089034198,0.7758689756805116,51316.0,27904.0,0.5437680255670746
structural,0.1,0,none,1.978992277068209,0.584739428915998,47666.0,22911.0,0.4806570721268829
structural,0.1,0,engagement,1.978992277068209,0.584739428915998,55789.0,28522.0,0.5112477370090878
structural,0.1,0,composition,1.978992277068209,0.584739428915998,55985.0,28722.0,0.5130302759667769
structural,0.1,0,exposure,1.978992277068209,0.584739428915998,48953.0,23921.0,0.48865238085510593
structural,0.1,1,none,1.9436815957549547,0.5982319729706765,48448.0,23965.0,0.49465406208718626
structural,0.1,1,engagement,1.9436815957549547,0.5982319729706765,56596.0,29558.0,0.5222630574598912
structural,0.1,1,composition,1.9436815957549547,0.5982319729706765,56862.0,29661.0,0.5216313179276142
structural,0.1,1,exposure,1.9436815957549547,0.5982319729706765,48943.0,24365.0,0.4978239993461782
structural,0.1,2,none,1.920180340082477,0.5946470733635675,47339.0,24155.0,0.5102558144447495
structural,0.1,2,engagement,1.920180340082477,0.5946470733635675,55951.0,29752.0,0.531750996407571
structural,0.1,2,composition,1.920180340082477,0.5946470733635675,55939.0,30092.0,0.5379431166091636
