arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,scenario,lhs_index,affective,ideological,structural
exposure,0,camp_pair,0.0010865734961575946,2.3659223449845287e-8,2.76032287409205e-8,-0.002048558571074369,-0.002082572895688614,0.0018649478416913699,0.0,-0.0022563468113055082,-0.007950826666794112,-0.007377049643359367,0.007944057409564895,1.006830612246768,1.0051240285752558,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
engagement,0,camp_pair,0.0023648659521071647,4.96268010850768e-8,5.832550565054912e-8,-0.00033949395302720377,-0.0004065419620904809,0.0002623203135390523,0.0,-0.0000732961581635036,-0.007950826666794112,-0.007377049643359367,0.007944057409564895,1.0055305713689808,1.0051240285752558,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
composition,0,camp_pair,-0.015392816963144984,-3.24756676719376e-7,-3.807841124862701e-7,-0.001111151924857461,-0.0011366004009050164,0.001078703151213391,0.0,-0.00042116457814170283,-0.007950826666794112,-0.007377049643359367,0.007944057409564895,1.0057997441419684,1.0051240285752558,1.0057997441419684,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
exposure,1,camp_pair,0.0010778580440995444,2.34444381533343e-8,2.7654403840813436e-8,-0.0018065151714667781,-0.0018608494956474687,0.0016698549074333846,0.0,-0.000023254913285891687,-0.006593146755802529,-0.005851094598657271,0.006628522634823593,1.0053762210190211,1.0040366143422437,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
engagement,1,camp_pair,0.003357859768239102,7.047664536129923e-8,8.319359219659833e-8,-0.001645467344293076,-0.0017765505724731236,0.0015239896090987635,0.0,-0.000019787709662030806,-0.006593146755802529,-0.005851094598657271,0.006628522634823593,1.0051374741851544,1.0040366143422437,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
composition,1,camp_pair,-0.01506852383911994,-3.147012204820171e-7,-3.7212663519916874e-7,-0.0011110394906506133,-0.001169031654497033,0.0010295104185096757,0.0,-0.0000459468763304785,-0.006593146755802529,-0.005851094598657271,0.006628522634823593,1.0046793275884893,1.0040366143422437,1.0046793275884893,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
exposure,0,distance,0.0010865734961575946,2.3659223449845287e-8,2.76032287409205e-8,-0.002048558571074369,-0.002082572895688614,0.0018649478416913699,0.0,-0.0022563468113055082,-0.007950826666794112,-0.007377049643359367,0.007944057409564895,1.006830612246768,1.0051240285752558,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
engagement,0,distance,0.017426435550437214,2.463971092320568e-7,2.8679825467294054e-7,-0.008619008651478263,-0.008663257471255247,0.008115359976476501,0.0,-0.0005151492720398693,-0.007950826666794112,-0.007377049643359367,0.007944057409564895,1.0104806566316786,1.0051240285752558,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
composition,0,distance,-0.011010236604875656,-1.5521585401953417e-7,-1.8064967849438302e-7,-0.00834410341953822,-0.008334391549433013,0.007850707598103421,0.0,0.00003404015613236305,-0.007950826666794112,-0.007377049643359367,0.007944057409564895,1.0105211479775547,1.0051240285752558,1.0105211479775547,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
exposure,1,distance,0.0010778580440995444,2.34444381533343e-8,2.7654403840813436e-8,-0.0018065151714667781,-0.0018608494956474687,0.0016698549074333846,0.0,-0.000023254913285891687,-0.006593146755802529,-0.005851094598657271,0.006628522634823593,1.0053762210190211,1.0040366143422437,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
